Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Ccy,Reason for not funded status
Fund08,Cardano Lawyer / Advocacy (DLT360),Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBu6g,3.92,154,39632424,0,15338535,24293889,YES,37966,NOT FUNDED,24720,USD,Over Budget
Fund08,Cardano Learning Conversations,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvCG,3.4,75,23318524,0,14678438,8640086,YES,15840,NOT FUNDED,332,USD,Over Budget
Fund08,Cardano learning needs assessment,New Member Onboarding,https://app.ideascale.com/t/UM5UZBwWj,4.29,119,45959196,0,1472798,44486398,YES,980,FUNDED,83428,USD,
Fund08,Cardano Malaysia Community,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBvM1,3.53,88,30415306,0,11020843,19394463,YES,27700,NOT FUNDED,1160,USD,Over Budget
Fund08,Cardano Network Expansion in Brazil,New Member Onboarding,https://app.ideascale.com/t/UM5UZBvBL,3.95,97,25722096,0,15733199,9988897,YES,28800,NOT FUNDED,17128,USD,Over Budget
Fund08,"Cardano on PBS, Project Development",Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBvBo,2.83,79,14450113,0,16349040,-1898927,NO,10000,NOT FUNDED,2700,USD,Approval Threshold
Fund08,Cardano Playground - Fun Tutorials,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBvQm,3.75,307,61820297,0,9154863,52665434,YES,62300,NOT FUNDED,4773,USD,Over Budget
Fund08,Cardano PR Initiative Japan,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBw7E,3.67,149,88296108,0,10440898,77855210,YES,36000,FUNDED,344900,USD,
Fund08,Cardano Recycling DApp,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvgp,4.77,427,90281284,0,8181741,82099543,YES,44586,FUNDED,548514,USD,
Fund08,Cardano Reuse Plastic India Hub,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvQ5,2.72,111,14945846,0,23267373,-8321527,NO,9450,NOT FUNDED,1062,USD,Approval Threshold
Fund08,Cardano Reuse Plastic India Program,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBw7J,3.67,78,23665771,0,16231690,7434081,YES,28000,NOT FUNDED,332,USD,Over Budget
Fund08,Cardano Rewards Program,DApps and Integrations,https://app.ideascale.com/t/UM5UZBwnG,3,95,29642991,0,16583776,13059215,YES,25000,NOT FUNDED,2000,USD,Over Budget
Fund08,Cardano Rust SDK Babbage,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvqc,4,347,202455403,0,12739108,189716295,YES,30000,FUNDED,1087000,USD,
Fund08,Cardano SAY NO Plastic Straws | C4O,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBu9b,4.37,154,34853256,0,16476898,18376358,YES,40012,NOT FUNDED,5532,USD,Over Budget
Fund08,Cardano Smart Students DApp,DApps and Integrations,https://app.ideascale.com/t/UM5UZBw6O,3.67,93,28866237,0,15788607,13077630,YES,80000,NOT FUNDED,2000,USD,Over Budget
Fund08,Cardano Solutions for Impact,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBwz4,4.58,151,41851746,0,4301165,37550581,YES,35000,NOT FUNDED,10464,USD,Over Budget
Fund08,Cardano SSI standards contributors,Self-Sovereign Identity,https://app.ideascale.com/t/UM5UZBukM,4.83,272,67924583,0,640066,67284517,YES,8400,FUNDED,250207,USD,
Fund08,Cardano Stonerz Club Community Hub!,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBva7,3.95,118,25713006,0,20850342,4862664,YES,25000,NOT FUNDED,6141,USD,Over Budget
Fund08,Cardano Tech Training in Malawi,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvxc,3.56,76,25621511,0,10897820,14723691,NO,8000,NOT FUNDED,113,USD,Approval Threshold
Fund08,Cardano to Portuguese-speak Africa,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvlL,4.23,111,35246460,0,3097644,32148816,YES,9000,NOT FUNDED,113,USD,Over Budget
Fund08,Cardano tokens in loyalty programs,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvR0,3,72,22826064,0,12552172,10273892,NO,15000,NOT FUNDED,113,USD,Approval Threshold
Fund08,Cardano Tools & Software for ARM,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBu3Y,4.78,525,91569203,0,1497391,90071812,YES,30000,FUNDED,563068,USD,
Fund08,Cardano University Seminar,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBwlo,3.71,73,30940830,0,5476338,25464492,NO,9000,NOT FUNDED,113,USD,Approval Threshold
Fund08,Cardano wallet recovery CLI,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvn6,4.44,223,40102670,0,21757216,18345454,YES,50000,NOT FUNDED,8700,USD,Over Budget
Fund08,Cardano White Board videos (Telugu),"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvSh,4.14,130,48092658,0,3104213,44988445,YES,6988,FUNDED,26762,USD,
Fund08,Cardano-centric YouTube-style site,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBvBH,3.22,82,15054444,0,16897935,-1843491,NO,48000,NOT FUNDED,2700,USD,Approval Threshold
Fund08,Cardano-Tools Python Library,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvmP,4.28,279,61534768,0,4193406,57341362,YES,10000,FUNDED,217270,USD,
Fund08,Cardano: Solutions for Cannabis,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvfa,3.53,106,24609681,0,18934627,5675054,YES,150000,NOT FUNDED,332,USD,Over Budget
Fund08,Cardano's 1st Food NFT Marketplace,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvNH,3.11,93,24158396,0,21836447,2321949,NO,9500,NOT FUNDED,1000,USD,Approval Threshold
Fund08,Cardano's Footprint in Ethiopia,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBwKI,3.06,75,15208588,0,15355511,-146923,NO,5000,NOT FUNDED,2700,USD,Approval Threshold
Fund08,Cardano/Lokole Network integration,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvcL,3.93,99,22189479,0,18318206,3871273,YES,67200,NOT FUNDED,1000,USD,Over Budget
Fund08,Cardano+Ethereum Lifesaving NFT's,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw4e,4.67,354,43605202,0,30896449,12708753,YES,80000,NOT FUNDED,130,USD,Over Budget
Fund08,Cardanobi.io,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvlt,4.87,433,103021959,0,8129812,94892147,YES,49032,FUNDED,626068,USD,
Fund08,CardanoCommunityHubs.com Worldwide,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvQY,4.08,120,45017270,0,1995238,43022032,YES,19500,FUNDED,121595,USD,
Fund08,CardanoFeel (Cardano -> Real World),Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBwgl,4.22,101,42300005,0,5605058,36694947,YES,10000,FUNDED,10532,USD,
Fund08,CardanoLAND,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvaf,1.17,141,28176785,0,23237565,4939220,YES,100000,NOT FUNDED,1000,USD,Over Budget
Fund08,CardanoOutreach - Africa Focus,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvYo,3.87,81,32651294,0,4125527,28525767,NO,3600,NOT FUNDED,113,USD,Approval Threshold
Fund08,CardanoOutreach - India Focus,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvaD,3.95,108,40102976,0,4838297,35264679,YES,3600,FUNDED,8162,USD,
Fund08,CardanoOutreach-fund4/6/7 winner,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBwV5,3.87,90,16724848,0,22854793,-6129945,NO,22480,NOT FUNDED,332,USD,Approval Threshold
Fund08,"CardanoPlusPlus, a C++ Library",Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBuyI,4.33,261,63351733,0,5737181,57614552,YES,24600,FUNDED,227270,USD,
Fund08,Cardanoscan.io Upgrade,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBw3f,4.48,850,183237259,0,10376712,172860547,YES,128000,FUNDED,497334,USD,
Fund08,Cardapper - YT Channel For C-Devs,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBu1h,3.67,219,44467648,0,23741334,20726314,YES,9900,NOT FUNDED,4773,USD,Over Budget
Fund08,Cardax DEX Plutarch Code Audit,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvgC,3.75,157,48483665,0,10936226,37547439,YES,96000,NOT FUNDED,7400,USD,Over Budget
Fund08,CaricatorADA (CaricatureADA),Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBwXl,4.73,302,63196046,0,8595250,54600796,YES,9300,FUNDED,100700,USD,
Fund08,Caricature for Migration,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZBweB,4.21,139,34235128,0,14368753,19866375,YES,10500,NOT FUNDED,1800,USD,Over Budget
Fund08,Carnivilla Market Space,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvrq,3.22,78,22639709,0,13375566,9264143,NO,25000,NOT FUNDED,6141,USD,Approval Threshold
Fund08,CarPool Education/Onboarding System,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBwmG,4.42,150,34803617,0,10335541,24468076,YES,75000,NOT FUNDED,5532,USD,Over Budget
Fund08,Catalyst Africa Town Hall (CATH),"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBv7d,4.67,341,76748670,0,3258511,73490159,YES,9800,FUNDED,201000,USD,
Fund08,Catalyst Audit Circle,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBvQp,4.67,235,39916179,0,14001807,25914372,YES,19900,NOT FUNDED,1780,USD,Over Budget
Fund08,Catalyst Circle - Funding Mechanism,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwcw,4.94,794,126358333,0,19812070,106546263,YES,37500,FUNDED,675100,USD,
Fund08,Catalyst Community Accelerator,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvxQ,3.61,75,24681011,0,12798700,11882311,YES,60000,NOT FUNDED,332,USD,Over Budget
Fund08,Catalyst Facilitators’ Collective,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBwet,4.71,228,60843297,0,4931557,55911740,YES,29540,FUNDED,305225,USD,
Fund08,Catalyst GPS,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvCf,4.89,461,83438378,0,7769198,75669180,YES,24000,FUNDED,480818,USD,
Fund08,Catalyst HeartBeat,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBv3w,4.29,275,49720833,0,28109043,21611790,YES,7115,NOT FUNDED,4773,USD,Over Budget
Fund08,CATALYST RESOURCE IN SWAHILI,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBwoV,4.14,101,43535405,0,3170413,40364992,YES,5000,FUNDED,10362,USD,
Fund08,Catalyst Streaming Guild,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwjv,4.39,165,25733401,0,28705950,-2972549,NO,19900,NOT FUNDED,200,USD,Approval Threshold
Fund08,Catalyst Swarm Media&Marketing Lab,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwyR,4.25,171,35316187,0,10346403,24969784,YES,49500,NOT FUNDED,8700,USD,Over Budget
Fund08,Catalyst Swarm Operations,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwER,4.9,583,101307525,0,16078657,85228868,YES,41000,FUNDED,512318,USD,
Fund08,Catalyst SwarmLabs,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBw0X,3.56,296,36374639,0,29621861,6752778,YES,150000,NOT FUNDED,4773,USD,Over Budget
Fund08,Catalyst Treasury Guild,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvP3,4.5,240,46502298,0,15221640,31280658,YES,70000,NOT FUNDED,8700,USD,Over Budget
Fund08,CatalystCon 2022,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBulC,4.8,360,68855964,0,13048397,55807567,YES,28000,FUNDED,277225,USD,
Fund08,CATS Community Advisor Triage Sys.,New Member Onboarding,https://app.ideascale.com/t/UM5UZBu68,3.1,74,16359681,0,13596932,2762749,NO,6300,NOT FUNDED,11128,USD,Approval Threshold
Fund08,cAuth (SSI & oAuth) by AIM,Self-Sovereign Identity,https://app.ideascale.com/t/UM5UZBvEM,4.67,170,40181402,0,5213185,34968217,YES,57000,NOT FUNDED,51468,USD,Over Budget
Fund08,cBilling - Cardano Billing DApp,DApps and Integrations,https://app.ideascale.com/t/UM5UZBwgz,4.93,877,172437130,0,9147059,163290071,YES,49150,FUNDED,2284650,USD,
Fund08,CCv3 members are professionals too,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBuwN,2.56,231,31667590,0,33375225,-1707635,NO,45000,NOT FUNDED,200,USD,Approval Threshold
Fund08,CHAINS NFT DEVELOPMENT,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBvj1,1.83,315,29527584,0,37847956,-8320372,NO,40000,NOT FUNDED,4773,USD,Approval Threshold
Fund08,Chamber of Digital Commerce for ...,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBvrK,4.33,250,133038687,0,7015883,126022804,YES,30000,FUNDED,256170,USD,
Fund08,Charity DAO,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBv45,2.75,83,22698303,0,17175393,5522910,YES,50000,NOT FUNDED,332,USD,Over Budget
Fund08,Chatting Dapp using Blockchain,DApps and Integrations,https://app.ideascale.com/t/UM5UZBu99,1.2,105,27967906,0,19620802,8347104,YES,1000,FUNDED,1000,USD,
Fund08,Checkpoint Content Hub,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBwyO,3.44,86,23550268,0,12926958,10623310,NO,25000,NOT FUNDED,6141,USD,Approval Threshold
Fund08,Checkpoint Learning and Media,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBvxy,3.4,80,23071144,0,16931768,6139376,YES,12000,NOT FUNDED,2700,USD,Over Budget
Fund08,Checkpoint Metaverse,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBwwW,3.53,89,23744016,0,13625185,10118831,YES,80000,NOT FUNDED,10464,USD,Over Budget
Fund08,Checkpoint: Blockchain Editorial,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvfd,3,90,25970564,0,16286749,9683815,YES,55000,NOT FUNDED,803,USD,Over Budget
Fund08,Children write African Stories,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBwuv,3.96,77,16640091,0,15886380,753711,NO,20000,NOT FUNDED,113,USD,Approval Threshold
Fund08,China Info Hub Continued- Dumpling,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvd0,4.75,388,109098551,0,1897965,107200586,YES,13550,FUNDED,360350,USD,
Fund08,CIP Editor time Sebastien for 1year,Open Standards & Interoperabili,https://app.ideascale.com/t/UM5UZBvrH,4.2,244,129774237,0,6614336,123159901,YES,20000,FUNDED,480000,USD,
Fund08,Circle Governance & Administration,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwcl,4.5,271,40040758,0,26385576,13655182,YES,107200,NOT FUNDED,700,USD,Over Budget
Fund08,Citizen Assemblies,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBviL,4.18,168,46182177,0,8080153,38102024,YES,40800,NOT FUNDED,37600,USD,Over Budget
Fund08,Clarity DAO Incubator,DApps and Integrations,https://app.ideascale.com/t/UM5UZBujY,4.36,160,44124858,0,19270520,24854338,YES,70000,NOT FUNDED,2000,USD,Over Budget
Fund08,"Clean Water helping, carbon neutral",Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBwyM,3,87,22799841,0,15402293,7397548,YES,37951,NOT FUNDED,332,USD,Over Budget
Fund08,Clinical trials patient recruitment,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBwbK,4.08,118,25903422,0,17757253,8146169,YES,200000,NOT FUNDED,5464,USD,Over Budget
Fund08,CNFT Festival Japan Meets the West,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBv04,4.22,184,108005953,0,3875970,104129983,YES,15000,FUNDED,64860,USD,
Fund08,CNFT Taco Tuesday Food Truck,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBwC3,2.67,84,28002936,0,15685775,12317161,YES,50000,NOT FUNDED,332,USD,Over Budget
Fund08,CNFTfolio #CNFTs Portfolio Tracker,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvRI,3.6,148,37263203,0,15349283,21913920,YES,34400,NOT FUNDED,8700,USD,Over Budget
Fund08,CNFTs for afforestation in India,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBwNb,4.61,269,69889622,0,10823420,59066202,YES,25000,FUNDED,47850,USD,
Fund08,"Co-regulation, not Red-Flag laws",Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBvt2,2.33,103,23118703,0,16965947,6152756,YES,150000,NOT FUNDED,6720,USD,Over Budget
Fund08,Codesign blockchain4good Principles,Open Standards & Interoperabili,https://app.ideascale.com/t/UM5UZBu7K,4.11,106,27411673,0,8178129,19233544,NO,2500,NOT FUNDED,91215,USD,Approval Threshold
Fund08,Collective Wellbeing via Cardano 🍄,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvaY,4.47,117,30818894,0,10183281,20635613,YES,15000,NOT FUNDED,5532,USD,Over Budget
Fund08,Colombian Congress Cardano,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBwsx,3.67,92,33869288,0,3745218,30124070,YES,8000,FUNDED,49720,USD,
Fund08,Commonwealth+UNESCAP+CatalystImpact,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBuww,4.33,160,38227684,0,15625898,22601786,YES,29600,NOT FUNDED,24720,USD,Over Budget
Fund08,Communal Marketing Spaces,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvr7,3.22,72,22661494,0,15340635,7320859,YES,25000,NOT FUNDED,5464,USD,Over Budget
Fund08,Community Advisors Marketing Blitz,Community Advisor Improvements,https://app.ideascale.com/t/UM5UZBvpk,3.19,111,31083142,0,9199595,21883547,YES,9500,FUNDED,6860,USD,
Fund08,Community and Content Accessibilty,Open Standards & Interoperabili,https://app.ideascale.com/t/UM5UZBwzD,2.73,82,14397675,0,14658759,-261084,NO,45000,NOT FUNDED,1755,USD,Approval Threshold
Fund08,Community Berlin as a franchise,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBu94,2.22,82,22829789,0,12751750,10078039,NO,10000,NOT FUNDED,6141,USD,Approval Threshold
Fund08,Community collaboration standards,Open Standards & Interoperabili,https://app.ideascale.com/t/UM5UZBw1E,4.92,366,51769654,0,14109687,37659967,YES,35000,FUNDED,225215,USD,
Fund08,Community Driven Volunteering,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBwVL,3.33,76,22784624,0,12961489,9823135,NO,50000,NOT FUNDED,113,USD,Approval Threshold
Fund08,Community Governance Oversight,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBvBR,4.67,228,45573294,0,3361129,42212165,YES,34300,FUNDED,23280,USD,
Fund08,Community Hubs Impact Accelerator,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBw5P,4.33,109,30793805,0,15061451,15732354,YES,19800,NOT FUNDED,6141,USD,Over Budget
Fund08,Community Lead Generation,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBuwv,4.22,125,58445485,0,6846541,51598944,YES,29000,FUNDED,223954,USD,
Fund08,CommunityGrowthAcceleratorDAO,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBwQw,4.22,139,28230151,0,19933806,8296345,YES,35000,NOT FUNDED,7200,USD,Over Budget
Fund08,"Company privacy ledger (GDPR, CCPA)",DApps and Integrations,https://app.ideascale.com/t/UM5UZBu9C,4.42,175,62500926,0,8764391,53736535,YES,81300,FUNDED,755680,USD,
Fund08,Connect projects with developers,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZBuqr,4.08,161,34127972,0,13047180,21080792,YES,39712,NOT FUNDED,1800,USD,Over Budget
Fund08,Connect the unconnected through art,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBw57,2.87,72,22674652,0,13639072,9035580,NO,30000,NOT FUNDED,113,USD,Approval Threshold
Fund08,Connecting Asian Voter and Proposer,New Member Onboarding,https://app.ideascale.com/t/UM5UZBwm6,4.91,420,122007252,0,1790855,120216397,YES,15000,FUNDED,185000,USD,
Fund08,Connecting Tabletop Games & Cardano,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvXl,4.39,189,36445588,0,16563767,19881821,YES,63000,NOT FUNDED,1683,USD,Over Budget
Fund08,Consenz: Legislation Co-Creation,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBu5k,4.71,406,74323408,0,2059485,72263923,YES,13500,FUNDED,222670,USD,
Fund08,Content & Insights: Multi-Channel,New Member Onboarding,https://app.ideascale.com/t/UM5UZBwAQ,4.67,250,59430986,0,1338823,58092163,YES,8200,FUNDED,134540,USD,
Fund08,Contracts as a Service,DApps and Integrations,https://app.ideascale.com/t/UM5UZBwyv,4.17,129,42821712,0,11681965,31139747,YES,97330,NOT FUNDED,7400,USD,Over Budget
Fund08,Contributor Infrastructure Analysis,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwdu,4.08,150,31992945,0,18708740,13284205,YES,39200,NOT FUNDED,700,USD,Over Budget
Fund08,Control your data - PRISM (Profila),Self-Sovereign Identity,https://app.ideascale.com/t/UM5UZBu7T,4.78,269,45470044,0,17856725,27613319,YES,67500,NOT FUNDED,28668,USD,Over Budget
Fund08,Control your data via PRISM part 2,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBu7H,4.94,618,109070675,0,17803095,91267580,YES,67500,FUNDED,179875,USD,
Fund08,Control your data w Profila part 2,DApps and Integrations,https://app.ideascale.com/t/UM5UZBu82,4.92,446,100280565,0,12888800,87391765,YES,79500,FUNDED,1882950,USD,
Fund08,Coopercrypto,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvc7,1.89,143,28073305,0,23885287,4188018,YES,20000,NOT FUNDED,130,USD,Over Budget
Fund08,Cost of listing on an exchange.,DApps and Integrations,https://app.ideascale.com/t/UM5UZBv35,1.4,106,22376674,0,24770470,-2393796,NO,25000,NOT FUNDED,1000,USD,Approval Threshold
Fund08,Cotalker integration,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvqr,1.58,172,79557649,0,14526027,65031622,YES,100000,FUNDED,398754,USD,
Fund08,"Coupon Application ""Couponium.io""",DApps and Integrations,https://app.ideascale.com/t/UM5UZBun4,2.73,98,30373965,0,16806793,13567172,YES,40500,NOT FUNDED,2000,USD,Over Budget
Fund08,Courses & Education Crypto MKTPLACE,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvRt,3.4,84,23147963,0,18387811,4760152,YES,33500,NOT FUNDED,332,USD,Over Budget
Fund08,Create Cardano App,DApps and Integrations,https://app.ideascale.com/t/UM5UZBu8h,2.4,105,33159031,0,14254306,18904725,YES,35000,NOT FUNDED,2000,USD,Over Budget
Fund08,"Credential-based token, e.g. KYC",Self-Sovereign Identity,https://app.ideascale.com/t/UM5UZBvlr,4.73,216,71747819,0,3880192,67867627,YES,34668,FUNDED,258607,USD,
Fund08,Credentials and P2PDecentralized ID,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBv2L,1.78,100,22412306,0,23462497,-1050191,NO,26000,NOT FUNDED,6608,USD,Approval Threshold
Fund08,Credwise,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBu80,1.4,157,20198527,0,25262739,-5064212,NO,150000,NOT FUNDED,1062,USD,Approval Threshold
Fund08,cReport - Catalyst analyzer & KPIs,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBwHG,4.93,336,63408746,0,1089494,62319252,YES,28420,FUNDED,145580,USD,
Fund08,Cross Chain Multiverse Travel,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBwvF,2.71,136,28982704,0,20360714,8621990,YES,32000,NOT FUNDED,130,USD,Over Budget
Fund08,Cross-Chain Ambassadors (v 1.0),Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvNl,3.25,116,29280313,0,17730704,11549609,YES,7500,NOT FUNDED,130,USD,Over Budget
Fund08,Cross-Chain Connector|Search Engine,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBwBW,4.11,224,49827380,0,11020292,38807088,YES,50000,FUNDED,75630,USD,
Fund08,Cross-Chain Impact Lead Generator,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBwOn,5,768,175583121,0,5741432,169841689,YES,29000,FUNDED,267500,USD,
Fund08,Cross-Chain Networking Events EXT,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvmy,4.44,169,33516271,0,29710598,3805673,NO,20000,NOT FUNDED,130,USD,Approval Threshold
Fund08,Cross-Chain NFT Conference OxBAT,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBwsr,4.2,162,59152142,0,13484198,45667944,YES,8320,FUNDED,145480,USD,
Fund08,Crowd funding platform with ADA.,DApps and Integrations,https://app.ideascale.com/t/UM5UZBulh,3.72,118,32591384,0,13111803,19479581,YES,55000,NOT FUNDED,2000,USD,Over Budget
Fund08,Crowdfunding with inbuilt mediation,DApps and Integrations,https://app.ideascale.com/t/UM5UZBusE,4.58,200,63640176,0,5766306,57873870,YES,10000,FUNDED,944580,USD,
Fund08,Crypto banking,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBul0,3.83,114,27599358,0,23432460,4166898,YES,50000,NOT FUNDED,5464,USD,Over Budget
Fund08,Crypto Talent Marketplace,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvrD,3.08,115,24466117,0,23429002,1037115,NO,23000,NOT FUNDED,130,USD,Approval Threshold
Fund08,Cultural Tourism - Beyond Borders,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvSC,4.53,145,28055074,0,17555250,10499824,YES,84000,NOT FUNDED,10464,USD,Over Budget
Fund08,Curb Crime by capturing Data,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBwJ3,2.67,118,28926553,0,14629175,14297378,YES,20000,NOT FUNDED,7200,USD,Over Budget
Fund08,d-BET: Decentralized betting Dapp,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvSv,4.44,161,47732758,0,12483585,35249173,YES,21000,NOT FUNDED,1683,USD,Over Budget
Fund08,d-Cargo: Decentralized Cargo Dapp,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvS6,3.73,104,31386741,0,12072577,19314164,YES,9000,NOT FUNDED,2000,USD,Over Budget
Fund08,d-edTech Platform dApp for LatAm,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvmi,3.11,115,29170695,0,14377573,14793122,YES,26000,NOT FUNDED,7200,USD,Over Budget
Fund08,DAO Displays for Public Spaces,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvq3,4.83,521,85140086,0,15032178,70107908,YES,28750,FUNDED,485550,USD,
Fund08,DAO-NET & A2T Marketing,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBwy9,4.22,94,27435887,0,16825186,10610701,YES,33000,NOT FUNDED,332,USD,Over Budget
