Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Ccy,Reason for not funded status
Fund08,Cardano in Assamese,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvNp,3.88,144,23736314,0,25186432,-1450118,NO,7100,NOT FUNDED,1062,USD,Approval Threshold
Fund08,Cardano in Bengali,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLX,4.2,203,35181620,0,21312756,13868864,YES,7100,NOT FUNDED,1062,USD,Over Budget
Fund08,Cardano in Bhojpuri,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvNq,3.92,151,25157550,0,22814803,2342747,NO,7100,NOT FUNDED,1062,USD,Approval Threshold
Fund08,Cardano in Burmese,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBwi0,4.17,143,35734557,0,8461634,27272923,YES,7100,NOT FUNDED,3060,USD,Over Budget
Fund08,Cardano in Gujarati,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLc,4.11,162,37267012,0,18424294,18842718,YES,7100,FUNDED,1062,USD,
Fund08,Cardano in Hindi,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLU,4.1,217,57497030,0,9178589,48318441,YES,7100,FUNDED,40750,USD,
Fund08,Cardano in Kannada,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLh,4.17,169,28746158,0,22129013,6617145,YES,7100,NOT FUNDED,1062,USD,Over Budget
Fund08,Cardano in Khmer (Cambodian),"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBvN2,4.3,163,18693781,0,8765027,9928754,NO,7100,NOT FUNDED,1160,USD,Approval Threshold
Fund08,Cardano in Laotian,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBvN3,4.37,157,38690839,0,9634602,29056237,YES,7100,NOT FUNDED,3060,USD,Over Budget
Fund08,Cardano in Malayalam,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLn,4.11,149,21942874,0,25650959,-3708085,NO,7100,NOT FUNDED,1062,USD,Approval Threshold
Fund08,Cardano in Marathi,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLY,4.15,170,33153251,0,26603438,6549813,YES,7100,NOT FUNDED,1062,USD,Over Budget
Fund08,Cardano in Nepali,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLp,4.11,162,29134206,0,18644610,10489596,YES,7100,NOT FUNDED,1062,USD,Over Budget
Fund08,Cardano in Odia,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLk,4,147,24314548,0,24413541,-98993,NO,7100,NOT FUNDED,1062,USD,Approval Threshold
Fund08,Cardano in Punjabi,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvLo,4.23,241,37729888,0,21540623,16189265,YES,7100,NOT FUNDED,1062,USD,Over Budget
Fund08,Cardano in SInhala,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBwr3,3.67,147,23741604,0,22030232,1711372,NO,7100,NOT FUNDED,1062,USD,Approval Threshold
