Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy
Fund07,Cardano blockchain data on BigQuery,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBraN,2.83,116,27157784,0,22782144,4375640,YES,44661,NOT FUNDED,195,Over Budget,USD
Fund07,Cardano Blockchain Lab in Kenya,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrLq,4.67,247,106120920,0,2583699,103537221,YES,38255,FUNDED,151285,,USD
Fund07,Cardano Builders' Hub India,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqtV,4.78,319,115684330,0,6207555,109476775,YES,25000,FUNDED,189540,,USD
Fund07,Cardano Caravan for Advisors,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrgO,2.97,97,18313057,0,20720796,-2407739,NO,2000,NOT FUNDED,3495,Approval Threshold,USD
Fund07,Cardano Care,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBq3n,4.61,399,102594326,0,6988004,95606322,YES,88145,NOT FUNDED,73515,Over Budget,USD
Fund07,Cardano Catalyst TV,Multilingual resources,https://app.ideascale.com/t/UM5UZBqjD,4.21,167,70127369,0,3064647,67062722,YES,3900,FUNDED,29028,,USD
Fund07,Cardano Center Poland web & socials,Multilingual resources,https://app.ideascale.com/t/UM5UZBqbJ,4.67,247,82863957,0,2911041,79952916,YES,8000,FUNDED,45428,,USD
Fund07,Cardano Chinese Tutorial,Multilingual resources,https://app.ideascale.com/t/UM5UZBqrn,2.54,99,15624368,0,19435364,-3810996,NO,10000,NOT FUNDED,1078,Approval Threshold,USD
Fund07,Cardano Circular Economy Ecosystem,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBquT,3.67,118,26168931,0,19133811,7035120,YES,50000,NOT FUNDED,13120,Over Budget,USD
Fund07,Cardano Climate DAO,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBqzu,3.08,211,19352734,0,15891290,3461444,NO,31500,NOT FUNDED,16173,Approval Threshold,USD
Fund07,Cardano Community Development,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrSh,1.93,136,20608133,0,22410476,-1802343,NO,50000,NOT FUNDED,225,Approval Threshold,USD
Fund07,Cardano Community Hub Bulgaria,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrHp,2.33,100,17026975,0,19849075,-2822100,NO,75000,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Cardano Connect,Multilingual resources,https://app.ideascale.com/t/UM5UZBrJb,2.61,97,15841488,0,20404272,-4562784,NO,12000,NOT FUNDED,1078,Approval Threshold,USD
Fund07,Cardano Creatives Swarm community,Community Events,https://app.ideascale.com/t/UM5UZBqto,4.17,255,34592582,0,12441686,22150896,YES,6500,NOT FUNDED,1119,Over Budget,USD
Fund07,Cardano Cube - Ecosystem Overview,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBq57,3.83,120,24571539,0,18458048,6113491,YES,45000,NOT FUNDED,3495,Over Budget,USD
Fund07,Cardano Dev Português Brazil,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrJt,4.25,161,44610157,0,22242107,22368050,YES,21500,NOT FUNDED,225,Over Budget,USD
Fund07,Cardano DID Community SPO,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrUu,4.11,146,51509812,0,4857058,46652754,YES,9500,NOT FUNDED,8800,Over Budget,USD
Fund07,Cardano Discord Integration,MiniLow-Budget Dapps & Integrat,https://app.ideascale.com/t/UM5UZBqXz,1.67,108,17460265,0,20081098,-2620833,NO,5000,NOT FUNDED,46442,Approval Threshold,USD
Fund07,Cardano Eco-Village of the Future,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrgG,3.07,98,17657449,0,29406132,-11748683,NO,15000,NOT FUNDED,3495,Approval Threshold,USD
Fund07,Cardano enabled sustainable food,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrHD,4.11,120,36870030,0,21848788,15021242,YES,40000,NOT FUNDED,3495,Over Budget,USD
Fund07,Cardano event in a Parisian Theatre,Community Events,https://app.ideascale.com/t/UM5UZBrFE,4.42,295,50069601,0,12506138,37563463,YES,6500,NOT FUNDED,1119,Over Budget,USD
Fund07,Cardano Events in Ukraine 20 cities,Community Events,https://app.ideascale.com/t/UM5UZBqjv,2.96,241,24034544,0,16152037,7882507,YES,13000,NOT FUNDED,1119,Over Budget,USD
Fund07,Cardano features for everyone,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqWk,3.4,161,17355183,0,13022218,4332965,NO,15000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Cardano Film Studios,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrXg,3.33,107,49156066,0,10958223,38197843,YES,37500,NOT FUNDED,3495,Over Budget,USD
Fund07,Cardano FIT - Africa,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrWQ,1.58,103,16839913,0,23493724,-6653811,NO,34100,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Cardano for Global Health Supply,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBrMB,3.11,113,16501536,0,18597526,-2095990,NO,50000,NOT FUNDED,13120,Approval Threshold,USD
Fund07,Cardano for Species Management,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBrKd,4,146,36085561,0,18297455,17788106,YES,90000,NOT FUNDED,20515,Over Budget,USD
Fund07,Cardano for STEM Brazilian students,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBql1,4.17,151,74939763,0,1729513,73210250,YES,7500,FUNDED,241106,,USD
Fund07,Cardano French Community,Multilingual resources,https://app.ideascale.com/t/UM5UZBrIk,1.89,99,15825208,0,22381382,-6556174,NO,8000,NOT FUNDED,1078,Approval Threshold,USD
Fund07,Cardano games assets for Unity,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBqvK,4.89,1004,182708553,0,2669545,180039008,YES,57000,FUNDED,193000,,USD
Fund07,Cardano goes to Milan,Community Events,https://app.ideascale.com/t/UM5UZBrMI,3.82,255,44453448,0,14543371,29910077,YES,25000,NOT FUNDED,1119,Over Budget,USD
Fund07,Cardano Hackathon Seasons,Catalyst - Rapid Funding Mechan,https://app.ideascale.com/t/UM5UZBqaY,3.78,319,49713246,0,10718182,38995064,YES,25000,NOT FUNDED,4500,Over Budget,USD
Fund07,Cardano Hub - Eastern Europe,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqjh,2.1,107,16497442,0,20606280,-4108838,NO,29400,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Cardano Hub Caracas,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqhr,3.33,106,18038687,0,25814733,-7776046,NO,28000,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Cardano Hub Indonesia - Workshops,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqWb,4.44,214,80480668,0,2203768,78276900,YES,10777,FUNDED,68888,,USD
Fund07,Cardano Hub Indonesia-Video Series,Multilingual resources,https://app.ideascale.com/t/UM5UZBqiy,4.21,136,50924622,0,15969795,34954827,YES,9500,NOT FUNDED,1078,Over Budget,USD
Fund07,Cardano Hub West Africa,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrMV,2.22,106,16326078,0,19768167,-3442089,NO,29500,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Cardano in Spanish,Multilingual resources,https://app.ideascale.com/t/UM5UZBqaw,4.6,314,99912313,0,1758075,98154238,YES,6000,FUNDED,59000,,USD
Fund07,Cardano Interop NOW,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBrWP,4.6,240,65612281,0,2169764,63442517,YES,28000,FUNDED,29620,,USD
Fund07,Cardano Linux Distro for SBCs,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBrRd,1.6,148,15418995,0,37427273,-22008278,NO,30000,NOT FUNDED,195,Approval Threshold,USD
Fund07,Cardano local live events - Poland,Community Events,https://app.ideascale.com/t/UM5UZBrHR,3.64,276,36610960,0,17861718,18749242,YES,10000,NOT FUNDED,1119,Over Budget,USD
Fund07,Cardano Mobile Hubs,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqX5,4.75,281,94025871,0,9975942,84049929,YES,30000,FUNDED,85515,,USD
Fund07,Cardano Multi-DEX SDK,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBqwI,4.78,1650,291551864,0,1528877,290022987,YES,21900,FUNDED,305280,,USD
Fund07,Cardano NFT Art Festival,Connecting Japan日本 Community,https://app.ideascale.com/t/UM5UZBrff,4.19,591,183378045,0,7613714,175764331,YES,10000,FUNDED,31000,,USD
Fund07,Cardano NFT Search Engine,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrY7,2.5,96,18132182,0,23027785,-4895603,NO,30000,NOT FUNDED,3495,Approval Threshold,USD
Fund07,Cardano Omnibus - UTXO Management,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBrWB,4.17,479,177658020,0,22593115,155064905,YES,40000,FUNDED,85000,,USD
Fund07,Cardano Risk Assessment Tool,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBqqv,4.33,523,103705959,0,9497496,94208463,YES,68000,NOT FUNDED,15540,Over Budget,USD
Fund07,Cardano Savings & Loan - PoC,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBrWk,2.71,136,20941091,0,18756867,2184224,NO,10000,NOT FUNDED,3860,Approval Threshold,USD
Fund07,CARDANO SCAMWATCH TASK FORCE,Disarm cyber disinformation att,https://app.ideascale.com/t/UM5UZBqmR,3.42,289,48428384,0,8613201,39815183,YES,3627,FUNDED,6873,,USD
Fund07,Cardano Smart Students DApp,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrHv,3.81,191,28614008,0,16286049,12327959,YES,80000,NOT FUNDED,1350,Over Budget,USD
Fund07,Cardano Subnet/VM Avalanche Bridge,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrOP,4.21,539,74318105,0,11999403,62318702,YES,9600,FUNDED,5940,,USD
Fund07,Cardano Technical hub in Vietnamese,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqz8,4.83,370,132345623,0,3055258,129290365,YES,23960,FUNDED,232540,,USD
Fund07,Cardano Text Resources in Chinese,Multilingual resources,https://app.ideascale.com/t/UM5UZBrMr,4.6,304,87388498,0,3232209,84156289,YES,5572,FUNDED,53428,,USD
Fund07,Cardano to the Every Ghanaian,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrLy,4.33,134,51791321,0,9752214,42039107,YES,25000,NOT FUNDED,2097,Over Budget,USD
Fund07,Cardano Totem: Onboarding the World,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrFx,4.67,319,68940178,0,16630628,52309550,YES,40500,FUNDED,45005,,USD
Fund07,Cardano Training & Complex Networks,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqlo,4.33,154,41958864,0,13231604,28727260,YES,14025,NOT FUNDED,225,Over Budget,USD
Fund07,Cardano Worldwide Community Hubs,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrCh,4.33,154,67721768,0,3358357,64363411,YES,9636,FUNDED,33017,,USD
Fund07,Cardano-based Travel Network,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrGm,2.42,310,18001621,0,23987765,-5986144,NO,80000,NOT FUNDED,5940,Approval Threshold,USD
Fund07,Cardano-Cosmos IBC Bridge,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBrOI,3.67,238,62167841,0,23486905,38680936,YES,50000,NOT FUNDED,7700,Over Budget,USD
Fund07,Cardano-L-EARN,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBrNG,3.78,133,20843094,0,18903050,1940044,NO,18000,NOT FUNDED,195,Approval Threshold,USD
Fund07,Cardano/Lokole Network integration,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrdO,3,87,17253791,0,27916791,-10663000,NO,12000,NOT FUNDED,3495,Approval Threshold,USD
Fund07,Cardano4Climate Community Events,Community Events,https://app.ideascale.com/t/UM5UZBrNU,4.78,873,109109384,0,9475141,99634243,YES,4181,FUNDED,164769,,USD
Fund07,Cardano4Climate Community Hub,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrNa,4.67,238,81349963,0,4285677,77064286,YES,6765,FUNDED,42653,,USD
Fund07,Cardanobi.io,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrOL,4.33,189,78042921,0,10264582,67778339,YES,40860,NOT FUNDED,23200,Over Budget,USD
Fund07,CardanoHTX,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrGq,3.67,101,27668957,0,22740721,4928236,YES,3500,NOT FUNDED,2097,Over Budget,USD
Fund07,Cardanomonitor,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrJl,3.56,129,49200123,0,19852143,29347980,YES,25880,NOT FUNDED,8800,Over Budget,USD
Fund07,CardanoRio 2022: Hybrid event,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrV0,4.58,221,68967750,0,2501187,66466563,YES,17501,FUNDED,161005,,USD
Fund07,Cardol.io - Portfolio Tracker,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrNg,4.46,266,50854191,0,9366918,41487273,YES,25000,NOT FUNDED,1350,Over Budget,USD
Fund07,Cardsec 🔒: SPO Self-Audit Toolkit,Global Sustainable Indep. SPOs,https://app.ideascale.com/t/UM5UZBrAW,4.21,145,67326596,0,7556263,59770333,YES,20500,NOT FUNDED,7900,Over Budget,USD
Fund07,cardway.finance - A payment gateway,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrU7,4,170,40386235,0,17771005,22615230,YES,146872,NOT FUNDED,225,Over Budget,USD
Fund07,Case Study: Yomi.ai & Ada Pay,Catalyst Natives COTI Pay with ,https://app.ideascale.com/t/UM5UZBray%20,4.56,1228,151601115,0,5656028,145945087,YES,19600,FUNDED,32040,,USD
Fund07,Catalyst Audit Circle,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBqes,4.5,276,67964646,0,1382596,66582050,YES,12700,FUNDED,5802,,USD
Fund07,Catalyst Circle - Funding Mechanism,Catalyst - Rapid Funding Mechan,https://app.ideascale.com/t/UM5UZBrQK,4.58,533,94490208,0,9771995,84718213,YES,37500,FUNDED,4500,,USD
Fund07,Catalyst Circle Mentorship,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrdx,4.83,250,72145436,0,4789758,67355678,YES,10000,FUNDED,66120,,USD
Fund07,Catalyst Circle Treasury Management,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrAV,4.27,142,70138850,0,3679374,66459476,YES,11400,FUNDED,54720,,USD
Fund07,Catalyst Community Accelerator,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrf6,3.67,126,51414903,0,5739114,45675789,YES,60000,NOT FUNDED,35960,Over Budget,USD
Fund07,Catalyst Events 4 Vietnam Students,Community Events,https://app.ideascale.com/t/UM5UZBqzX,4.58,460,72206787,0,6909856,65296931,YES,18000,FUNDED,53119,,USD
Fund07,Catalyst Fund 8 Challenge Team Hub,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrB2,4.21,144,59410996,0,4708504,54702492,YES,7012,NOT FUNDED,2097,Over Budget,USD
Fund07,Catalyst in Emerging Markets,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrC9,4.78,365,78675484,0,20956067,57719417,YES,21500,NOT FUNDED,19597,Over Budget,USD
Fund07,Catalyst Infosessions in Ethiopia,Community Events,https://app.ideascale.com/t/UM5UZBreI,2.54,226,22850319,0,14976649,7873670,YES,4500,NOT FUNDED,1119,Over Budget,USD
Fund07,Catalyst Leadership Academy,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrOX,4.53,361,94756067,0,1125260,93630807,YES,18290,FUNDED,377460,,USD
Fund07,Catalyst Snippets via Social Media,Community Events,https://app.ideascale.com/t/UM5UZBrNQ,2.3,224,16014093,0,22344986,-6330893,NO,50000,NOT FUNDED,1119,Approval Threshold,USD
Fund07,Catalyst Swarm & City Hub Playbooks,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBq8N,3.87,115,37396300,0,23264205,14132095,YES,45000,NOT FUNDED,2097,Over Budget,USD
Fund07,Catalyst Swarm 2022 GitBook,Community Events,https://app.ideascale.com/t/UM5UZBqus,4.76,592,124217289,0,2056258,122161031,YES,4350,FUNDED,168950,,USD
Fund07,Catalyst Swarm Operations,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBqXc,4.67,209,61219224,0,4424347,56794877,YES,8000,FUNDED,24720,,USD
Fund07,Catalyst Treasury Management,Catalyst - Rapid Funding Mechan,https://app.ideascale.com/t/UM5UZBqYK,4.67,788,97381525,0,8799809,88581716,YES,41000,FUNDED,42000,,USD
Fund07,Catalyst-Coordinator Hub,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqum,4.78,274,91428158,0,2849964,88578194,YES,4350,FUNDED,125935,,USD
Fund07,CC Admin Team Scope Expansion,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrQG,4.53,179,71195689,0,3205952,67989737,YES,15000,FUNDED,76120,,USD
Fund07,CCv3: Sustaining the Circle,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrQL,4.58,186,63024634,0,1406005,61618629,YES,6000,FUNDED,32720,,USD
Fund07,chain-lib Token Viewer for everyone,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqW0,2.2,135,14834157,0,16473901,-1639744,NO,9562,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Challenge Fest by Catalyst Swarm,Community Events,https://app.ideascale.com/t/UM5UZBqoF,4.48,334,64031671,0,4257266,59774405,YES,5000,FUNDED,23119,,USD
Fund07,Charity Funding SPO,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrM4,1.16,126,15125337,0,25728704,-10603367,NO,100000,NOT FUNDED,8800,Approval Threshold,USD
Fund07,Children write African stories,Multilingual resources,https://app.ideascale.com/t/UM5UZBqel,3.1,113,49429037,0,6412080,43016957,YES,2000,FUNDED,1078,,USD
Fund07,China Info Hub Continued,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqsh,4.4,183,61951447,0,6910211,55041236,YES,15948,NOT FUNDED,2097,Over Budget,USD
Fund07,Chinese Discord+Telegram groups,Multilingual resources,https://app.ideascale.com/t/UM5UZBqsr,4.33,169,69331539,0,6362243,62969296,YES,8366,NOT FUNDED,7078,Over Budget,USD
Fund07,Citizen's Ledger,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBqxi,3.47,133,27919372,0,28020233,-100861,NO,100000,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Clash royale & starcraft mixed game,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBqtW,2.17,144,15598259,0,17261334,-1663075,NO,35000,NOT FUNDED,624,Approval Threshold,USD
Fund07,"Clean water, raise awareness.","Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrIU,2.22,122,16642348,0,22763579,-6121231,NO,58413,NOT FUNDED,225,Approval Threshold,USD
Fund07,Climate Finance For Small Farmers,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBq9M,3.53,387,38124024,0,31684484,6439540,YES,12000,NOT FUNDED,5940,Over Budget,USD
Fund07,Cloud Credits,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBra4,2.33,122,29613983,0,14938760,14675223,YES,30000,NOT FUNDED,960,Over Budget,USD
Fund07,Clubs+hackathons = Cardano adoption,Community Events,https://app.ideascale.com/t/UM5UZBqeH,4.41,384,96124996,0,3570282,92554714,YES,15000,FUNDED,149769,,USD
Fund07,Co-Creating Events Together,Community Events,https://app.ideascale.com/t/UM5UZBq0Y,4.48,290,48048679,0,10864805,37183874,YES,12000,NOT FUNDED,1119,Over Budget,USD
Fund07,Collab Tools for Community DAOs,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBq7M,4.17,296,46586515,0,7399470,39187045,YES,75000,NOT FUNDED,16173,Over Budget,USD
Fund07,Collaborat'n for global risk issues,Community Events,https://app.ideascale.com/t/UM5UZBrba,4.13,251,34309777,0,13922955,20386822,YES,30000,NOT FUNDED,1119,Over Budget,USD
Fund07,College Student Recruitment,Community Events,https://app.ideascale.com/t/UM5UZBrdD,3.97,271,41676055,0,12540077,29135978,YES,9600,NOT FUNDED,1119,Over Budget,USD
Fund07,Colombian Congress Cardano,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBrPu,4.39,479,126426982,0,4706993,121719989,YES,4500,FUNDED,21000,,USD
Fund07,Community Consultancy: AI & Data,A.I. & SingularityNet a $5T mar,https://app.ideascale.com/t/UM5UZBqyI,3.67,127,35195495,0,8344534,26850961,YES,3840,NOT FUNDED,1725,Over Budget,USD
Fund07,Community Consultancy: Tokenomics,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBrMx,4.27,199,38339045,0,15030737,23308308,YES,3840,FUNDED,3860,,USD
Fund07,Community Governance Oversight,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBrEK,4.6,301,106897295,0,1457504,105439791,YES,19100,FUNDED,61900,,USD
Fund07,Community Pharmacy System,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBrTc,4.08,175,93088464,0,4476578,88611886,YES,24000,FUNDED,49515,,USD
Fund07,Community Pool Network,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBqXY,4.46,230,50689598,0,19601028,31088570,YES,30000,NOT FUNDED,8800,Over Budget,USD
Fund07,Community Tools On Chain! - AIM,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrMX,4.92,685,117263925,0,3531801,113732124,YES,9900,FUNDED,55350,,USD
Fund07,Community Web Portal in Bahasa,Multilingual resources,https://app.ideascale.com/t/UM5UZBqjQ,4.31,144,67293066,0,2046886,65246180,YES,2950,FUNDED,26078,,USD
Fund07,completMusic streaming/NFT Defi DEX,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBqbC,2.62,133,24330477,0,24271325,59152,NO,20000,NOT FUNDED,3860,Approval Threshold,USD
Fund07,Conference on No-Code & Blockchain,Community Events,https://app.ideascale.com/t/UM5UZBqdY,2.79,219,18451137,0,17188670,1262467,NO,4300,NOT FUNDED,1119,Approval Threshold,USD
Fund07,Confidential Computing Oracle,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrfy,4.17,410,70540459,0,7507861,63032598,YES,50000,NOT FUNDED,15540,Over Budget,USD
Fund07,Connecting Tabletop Games & Cardano,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrSo,3.93,200,33366179,0,13100956,20265223,YES,50000,NOT FUNDED,624,Over Budget,USD
Fund07,Conservation factory phase 1,Community Events,https://app.ideascale.com/t/UM5UZBrMW,1.33,238,14710448,0,23970197,-9259749,NO,50000,NOT FUNDED,1119,Approval Threshold,USD
Fund07,Content Synchronization using Audio,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrNN,1.2,108,14372454,0,26586718,-12214264,NO,100000,NOT FUNDED,3495,Approval Threshold,USD
Fund07,Content Wallet for Experiences,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqyP,1.4,180,14783075,0,20778965,-5995890,NO,100000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Continuing in Georgia (country),Nation Building Dapps,https://app.ideascale.com/t/UM5UZBrbM,2.44,110,20046851,0,20843577,-796726,NO,35000,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Contributionism worldwide,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBq76,3.17,102,16390610,0,26185566,-9794956,NO,67500,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Corruption discovery + remediation,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBrRB,3.8,152,59968851,0,4928753,55040098,YES,62046,NOT FUNDED,20515,Over Budget,USD
Fund07,cPAY - TrustOrder Anti SpamOrder,Catalyst Natives COTI Pay with ,https://app.ideascale.com/t/UM5UZBrCM,4.85,2525,310794095,0,1900286,308893809,YES,13200,FUNDED,51640,,USD
Fund07,Create Teaming Agreement Templates,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrTq,4.58,172,77883981,0,4012871,73871110,YES,7000,FUNDED,91120,,USD
Fund07,Creating a Bilingual Website Hub,Connecting Japan日本 Community,https://app.ideascale.com/t/UM5UZBq8u,3.33,362,131157592,0,5409131,125748461,YES,12000,NOT FUNDED,11500,Over Budget,USD
Fund07,Creating a Level Playing Field,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBrQD,2.67,92,15391268,0,20821877,-5430609,NO,28000,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Creating Cardano DAO Infrastructure,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrUf,3.44,284,63129764,0,8635147,54494617,YES,50000,NOT FUNDED,16173,Over Budget,USD
Fund07,Cross Chain Cyber Security Collab,Disarm cyber disinformation att,https://app.ideascale.com/t/UM5UZBq1e,3.24,252,31397947,0,14415775,16982172,YES,11000,NOT FUNDED,6873,Over Budget,USD
Fund07,Cross-NFT Gaming: NFT Fighters,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrHz,4.5,243,63517581,0,5396310,58121271,YES,37000,NOT FUNDED,4624,Over Budget,USD
Fund07,Cross-NFT Gaming: Shared Metaverse,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBqi2,2.87,133,15655996,0,14848919,807077,NO,35000,NOT FUNDED,624,Approval Threshold,USD
Fund07,Crowdfunding Platform with ADA,Catalyst Natives COTI Pay with ,https://app.ideascale.com/t/UM5UZBrAw,2.08,531,39493506,0,26918965,12574541,YES,29750,NOT FUNDED,9951,Over Budget,USD
Fund07,Crypto regulations in India,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBqtI,3.44,319,69273469,0,8127834,61145635,YES,9000,FUNDED,4500,,USD
Fund07,Crypto4Europe advocacy in Brussels,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBrPx,4,788,98783855,0,15499742,83284113,YES,29850,NOT FUNDED,13500,Over Budget,USD
Fund07,Cryptocurrency Exchange for Africa,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrAK,3.75,111,20360699,0,18731587,1629112,NO,55000,NOT FUNDED,3495,Approval Threshold,USD
Fund07,CrypTrolls: A DAO Gaming Experience,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBqWj,3.67,156,38462468,0,14781103,23681365,YES,90000,NOT FUNDED,624,Over Budget,USD
Fund07,Culture Cubes,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrWV,1.13,113,16507850,0,24877348,-8369498,NO,5000,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Custodian Layer for Cardano,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrKL,4.4,801,115778055,0,13897794,101880261,YES,95000,NOT FUNDED,15540,Over Budget,USD
Fund07,DALE,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqab,4.5,162,59329389,0,13855321,45474068,YES,35000,NOT FUNDED,225,Over Budget,USD
Fund07,DAO addressing Digital Divide,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrVM,1.29,195,16924821,0,19591003,-2666182,NO,10000,NOT FUNDED,16173,Approval Threshold,USD
