Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Ccy,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Funding category,proposal_id,URL,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund12,[5PC] Cardano Education Video on TikTok for the Vietnamese Community - phase 2,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/5pc-cardano-education-video-on-tiktok-for-the-vietnamese-community-phase-2,4.43,277,46376702,45892930,0,46376702,ADA,YES,20688,NOT FUNDED,7598,Over Budget,Cardano Open Ecosystem,122157,https://app.ideascaleapp.eu/t/UCNZhzk,117,68,66,58.12%,97.06%,4.53,4.52,4.23
Fund12,[5PC] Cardano Journey - Cardano Education Podcast Series for the Vietnamese Community,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/5pc-cardano-journey-cardano-education-podcast-series-for-the-vietnamese-community,4.34,252,51640357,46900839,0,51640357,ADA,YES,17352,FUNDED,398126,,Cardano Open Ecosystem,123263,https://app.ideascaleapp.eu/t/UCNZiHs,124,80,73,64.52%,91.25%,4.36,4.33,4.34
Fund12,[5PC] Project Catalyst Video on TikTok for the Vietnamese Community,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/5pc-project-catalyst-video-on-tiktok-for-the-vietnamese-community,4.26,228,34752688,61336507,0,34752688,ADA,NO,15392,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122217,https://app.ideascaleapp.eu/t/UCNZh0j,115,71,69,61.74%,97.18%,4.25,4.44,4.08
Fund12,[5PC] Why Cardano? - Cardano Education Video on Youtube for the Vietnamese Community,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/5pc-why-cardano-cardano-education-video-on-youtube-for-the-vietnamese-community,4.33,251,24553888,42429766,0,24553888,ADA,NO,34704,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122228,https://app.ideascaleapp.eu/t/UCNZh0u,121,75,70,61.98%,93.33%,4.31,4.44,4.25
Fund12,[ADAXON] BlueTick: Privacy-First Cardano-based Instant Messaging Solution,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/adaxon-bluetick-privacy-first-cardano-based-instant-messaging-solution-50e1f,4.09,186,23019478,43217764,0,23019478,ADA,NO,112000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,120722,https://app.ideascaleapp.eu/t/UCNZhcD,118,74,73,62.71%,98.65%,4.31,3.92,4.05
Fund12,[ADAXON] CardanoVision: Empowering Users with Decentralized Computer Vision,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/adaxon-cardanovision-empowering-users-with-decentralized-computer-vision,4.08,145,9800836,42793808,0,9800836,ADA,NO,80000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,121289,https://app.ideascaleapp.eu/t/UCNZhlV,118,73,73,61.86%,100.00%,4.25,4.07,3.92
Fund12,[ADAXON] GoguenBytes: Byte-sized Programming Tutorials,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/adaxon-goguenbytes-byte-sized-programming-tutorials,4.30,190,20699172,40740568,0,20699172,ADA,NO,50000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,121682,https://app.ideascaleapp.eu/t/UCNZhrx,120,78,77,65.00%,98.72%,4.4,4.24,4.26
Fund12,[ADAXON] HarmonyAI: Cardano DeFi Assistant,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/adaxon-harmonyai-cardano-defi-assistant,4.17,191,29805123,44389681,0,29805123,ADA,NO,120000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,120677,https://app.ideascaleapp.eu/t/UCNZhbT,113,67,65,59.29%,97.01%,4.27,4.12,4.11
Fund12,[Aladin] Smart Contract As A Service For Employment Platforms,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/aladin-smart-contract-as-a-service-for-employment-platforms,3.99,168,22342831,41675535,0,22342831,ADA,NO,53638,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,120940,https://app.ideascaleapp.eu/t/UCNZhfn,97,71,70,73.20%,98.59%,4.03,3.83,4.1
Fund12,[BananaClip] - Harnessing Cardano to Transform Casual Games for 25% of Humanity with Seamless Web2 Onboarding,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/bananaclip-harnessing-cardano-to-transform-casual-games-for-25percent-of-humanity-with-seamless-web2-onboarding,4.01,185,33131493,119326087,0,33131493,ADA,NO,300000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,123244,https://app.ideascaleapp.eu/t/UCNZiHY,109,71,71,65.14%,100.00%,4.23,4.1,3.7
Fund12,[bLott] - Transparency OnChain Self-Govern Lottery System|Incentive Mechanism,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/blott-transparency-onchain-self-govern-lottery-systemorincentive-mechanism,3.87,149,22148766,42611221,0,22148766,ADA,NO,66000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,119497,https://app.ideascaleapp.eu/t/UCNZhG8,124,77,77,62.10%,100.00%,4.09,3.77,3.74
Fund12,[bLott] Transparency OnChain Self-Govern Lottery System,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/blott-transparency-onchain-self-govern-lottery-system,3.99,171,29888845,43355044,0,29888845,ADA,NO,153000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,120706,https://app.ideascaleapp.eu/t/UCNZhbx,122,82,81,67.21%,98.78%,4.16,3.93,3.87
Fund12,[C2VN]: Cardano blockchain courseware in Universities,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/c2vn-cardano-blockchain-courseware-in-universities,4.30,309,69341851,44151645,0,69341851,ADA,YES,92000,FUNDED,2144027,,Cardano Open Ecosystem,120387,https://app.ideascaleapp.eu/t/UCNZhVj,103,63,61,61.17%,96.83%,4.28,4.44,4.17
Fund12,[C2VN]: Developing the Blockchain Lecturer Team at Universities in Vietnam,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/c2vn-developing-the-blockchain-lecturer-team-at-universities-in-vietnam,4.24,256,60319810,43837833,0,60319810,ADA,YES,41250,FUNDED,1512217,,Cardano Open Ecosystem,121869,https://app.ideascaleapp.eu/t/UCNZhu1,115,82,81,71.30%,98.78%,4.41,4.13,4.17
Fund12,[C2VN]: Lucid (off-chain code) video course for non-native English communities Developers,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/c2vn-lucid-off-chain-code-video-course-for-non-native-english-communities-developers,4.27,256,36520220,44072327,0,36520220,ADA,NO,41200,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120065,https://app.ideascaleapp.eu/t/UCNZhQR,98,69,64,70.41%,92.75%,4.38,4.27,4.17
Fund12,[CaFi] Cardano Explorers: Explore the Cardano Ecosystem,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cafi-cardano-explorers-explore-the-cardano-ecosystem,3.98,196,14019952,45501382,0,14019952,ADA,NO,61225,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,121763,https://app.ideascaleapp.eu/t/UCNZhtH,106,69,68,65.09%,98.55%,4.05,3.93,3.96
Fund12,[CaFi] Cardano news - Vietnamese version,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cafi-cardano-news-vietnamese-version,4.23,228,51745787,44380554,0,51745787,ADA,YES,17995,FUNDED,415478,,Cardano Open Ecosystem,120918,https://app.ideascaleapp.eu/t/UCNZhfQ,114,76,75,66.67%,98.68%,4.23,4.46,4.01
Fund12,[CaFi] CatalystTalk for Vietnamese (Phase 2),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cafi-catalysttalk-for-vietnamese-phase-2,4.16,219,31796131,30436484,0,31796131,ADA,NO,16500,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,118876,https://app.ideascaleapp.eu/t/UCNZg6x,136,91,75,66.91%,82.42%,4.15,4.29,4.05
Fund12,[CaFi] Discover dApp on Cardano for Vietnamese,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cafi-discover-dapp-on-cardano-for-vietnamese,4.03,190,18846191,44435540,0,18846191,ADA,NO,37440,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120938,https://app.ideascaleapp.eu/t/UCNZhfl,104,73,72,70.19%,98.63%,4.13,4.04,3.93
Fund12,[CaFi] Peer-Reviewed Technical Research Paper Library in Vietnamese version,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cafi-peer-reviewed-technical-research-paper-library-in-vietnamese-version,4.26,234,75736439,35894563,0,75736439,ADA,YES,18873,FUNDED,2401828,,Cardano Open Ecosystem,118671,https://app.ideascaleapp.eu/t/UCNZg3b,173,107,60,61.85%,56.07%,4.29,4.38,4.1
Fund12,"[CASIA] Cardano Asia TikTok Channel (expand Korean, maintain Japanese/Vietnamese/English) + NEW Youtube Channel",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/casia-cardano-asia-tiktok-channel-expand-korean-maintain-japanesevietnameseenglish-new-youtube-channel,3.59,241,50571232,53979211,0,50571232,ADA,YES,79028,FUNDED,37098,,Cardano Open Ecosystem,122926,https://app.ideascaleapp.eu/t/UCNZiCL,92,56,55,60.87%,98.21%,3.66,3.72,3.4
Fund12,[CASIA] x [C4G] Cardano4Good - a dApp Fundraising Platform for Social Good Projects (Phase 2),Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/casia-x-c4g-cardano4good-a-dapp-fundraising-platform-for-social-good-projects-phase-2,3.95,188,29539548,47493856,0,29539548,ADA,NO,100000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,123497,https://app.ideascaleapp.eu/t/UCNZiLi,116,73,68,62.93%,93.15%,4.01,4.05,3.8
Fund12,[CC] Cardano\_Wiki\_QAchatbot,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cc-cardanowikiqachatbot,3.82,171,12589840,51733265,0,12589840,ADA,NO,74661,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120401,https://app.ideascaleapp.eu/t/UCNZhVx,106,73,71,68.87%,97.26%,3.91,3.88,3.67
