Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy,URL,proposal_id,Funding category,challenge_id,Rating,No. Assessments
Fund09,500+ ₳Community Sent to Conferences,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzPv,5,1640,328906429,0,127000045,201906384,YES,420000,FUNDED,6509400,,USD,https://cardano.ideascale.com/a/dtd/413992-48088,413992,"F9: Dapps, Products & Integrations",26595,5,17
Fund09,OpenSource MetaMask<=>₳ Integration,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBzP4,5,1701,324591571,0,32969674,291621897,YES,92000,FUNDED,858000,,USD,https://cardano.ideascale.com/a/dtd/414001-48088,414001,F9: Developer Ecosystem,26597,5,12
Fund09,Plural Voting and Identity for DAOs,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZBzP1,5,1857,384823670,0,11851670,372972000,YES,91000,FUNDED,909000,,USD,https://cardano.ideascale.com/a/dtd/413998-48088,413998,F9: DAOs <3 Cardano,26594,5,10
Fund09,IRONSKY NFT GAME | Build on Mobile,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0DT,5,819,118955716,0,140747821,-21792105,NO,88880,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/416954-48088,416954,"F9: Dapps, Products & Integrations",26595,5,9
Fund09,Learn to Earn Cardano Ecosystem,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1OS,5,1009,135184408,0,44617937,90566471,YES,28650,FUNDED,4509845,,USD,https://cardano.ideascale.com/a/dtd/421345-48088,421345,"F9: Dapps, Products & Integrations",26595,5,8
Fund09,ADABET.iO |Sports Betting MobileApp,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB05j,5,847,117375774,0,143454707,-26078933,NO,81015,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/420202-48088,420202,"F9: Dapps, Products & Integrations",26595,5,7
Fund09,ATALA Prism zKP + Hyperledger Aries,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBzQB,5,1130,195109823,0,26509623,168600200,YES,82000,FUNDED,728000,,USD,https://cardano.ideascale.com/a/dtd/414008-48088,414008,F9: Cross-Chain Collaboration,26598,5,7
Fund09,Daedalus Turbo - 10x Quicker Sync,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzgg,5,2000,299495215,0,235830058,63665157,YES,759000,FUNDED,2417978,,USD,https://cardano.ideascale.com/a/dtd/414953-48088,414953,"F9: Dapps, Products & Integrations",26595,5,7
Fund09,DAO-NET: Small Developer Funding,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1eH,5,512,84037800,0,22790179,61247621,YES,30000,FUNDED,11280,,USD,https://cardano.ideascale.com/a/dtd/422249-48088,422249,F9: Developer Ecosystem,26597,5,7
Fund09,ADABET.iO | Cardano Betting DApp,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzSL,5,1312,185136942,0,147204031,37932911,YES,125005,FUNDED,1574923,,USD,https://cardano.ideascale.com/a/dtd/414140-48088,414140,"F9: Dapps, Products & Integrations",26595,5,6
Fund09,ANIMETA | Anime Museum Metaverse,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzTN,5,953,154646357,0,148858133,5788224,NO,111033,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/414203-48088,414203,"F9: Dapps, Products & Integrations",26595,5,6
Fund09,FIRST-EVER MULTI-CREATURE METAVERSE,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0IH,5,677,101737313,0,137577843,-35840530,NO,91400,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/417247-48088,417247,"F9: Dapps, Products & Integrations",26595,5,5
Fund09,littlefish - Shaping Action,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzc0,5,733,96484517,0,135325367,-38840850,NO,98667,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/414729-48088,414729,"F9: Dapps, Products & Integrations",26595,5,5
Fund09,RootsId Verifiable Credential,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB0sa,5,664,121130667,0,24696887,96433780,YES,18000,FUNDED,145760,,USD,https://cardano.ideascale.com/a/dtd/419400-48088,419400,F9: Developer Ecosystem,26597,5,5
Fund09,RootsWallet - Aries JS,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZB0sM,5,553,111716897,0,91119129,20597768,YES,21000,NOT FUNDED,8435,Over Budget,USD,https://cardano.ideascale.com/a/dtd/419387-48088,419387,F9: Cross-Chain Collaboration,26598,5,5
Fund09,SDG Impact-Investment Token,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1U8,5,527,77000050,0,126379439,-49379389,NO,88600,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/421752-48088,421752,"F9: Dapps, Products & Integrations",26595,5,5
Fund09,Trybbles NFT AR Pets Development,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1l4,5,528,70102059,0,123846637,-53744578,NO,86860,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/422724-48088,422724,"F9: Dapps, Products & Integrations",26595,5,5
Fund09,Vcoincheck Library (Phase 2),"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB0J4,4.96,689,160527458,0,47386379,113141079,YES,28500,FUNDED,179538,,USD,https://cardano.ideascale.com/a/dtd/417356-48088,417356,"F9: Grow East Asia, Grow Cardano",26602,4.96,15
Fund09,V2target-Dual target for ADA holder,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0Pb,4.96,557,73836041,0,126825078,-52989037,NO,67375,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/417693-48088,417693,"F9: Dapps, Products & Integrations",26595,4.96,8
Fund09,BLOCKTRUST identity wallet (PRISM),"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB01W,4.95,948,177564309,0,35966289,141598020,YES,45000,FUNDED,5299500,,USD,https://cardano.ideascale.com/a/dtd/419946-48088,419946,"F9: Dapps, Products & Integrations",26595,4.95,7
Fund09,PubWeave: Academic Publishing,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1qi,4.94,782,158109638,0,134707980,23401658,YES,214800,FUNDED,1025423,,USD,https://cardano.ideascale.com/a/dtd/423007-48088,423007,"F9: Dapps, Products & Integrations",26595,4.94,12
Fund09,Community CIP Editor: 1 year budget,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZB1oc,4.94,2495,521080211,0,14042293,507037918,YES,19200,FUNDED,480800,,USD,https://cardano.ideascale.com/a/dtd/422879-48088,422879,F9: The Great Migration (from Ethereum),26593,4.94,6
Fund09,PRISM analytics platform,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0sv,4.94,739,135666829,0,110036376,25630453,YES,75300,FUNDED,1240223,,USD,https://cardano.ideascale.com/a/dtd/419421-48088,419421,"F9: Dapps, Products & Integrations",26595,4.94,6
Fund09,Tokenizing Income Share - Use Cases,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0Yo,4.94,578,86987615,0,122326256,-35338641,NO,102214,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/418255-48088,418255,"F9: Dapps, Products & Integrations",26595,4.94,6
Fund09,Underprivileged DREPS Campaigning,dRep improvement and onboarding,https://app.ideascale.com/t/UM5UZB1WB,4.94,505,91459379,0,8121869,83337510,YES,19600,FUNDED,26340,,USD,https://cardano.ideascale.com/a/dtd/421816-48088,421816,F9: dRep improvement and onboarding,26601,4.94,6
Fund09,Handle Personalization | ADA Handle,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBz80,4.93,1198,255468360,0,39324170,216144190,YES,155600,FUNDED,6929400,,USD,https://cardano.ideascale.com/a/dtd/416681-48088,416681,"F9: Dapps, Products & Integrations",26595,4.93,9
Fund09,Catalyst Governance Tooling,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1ar,4.93,617,99261315,0,106026244,-6764929,NO,97715,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/422040-48088,422040,"F9: Dapps, Products & Integrations",26595,4.93,5
Fund09,Community validation Dapp,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1MN,4.93,502,71333151,0,114247034,-42913883,NO,74000,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/421218-48088,421218,"F9: Dapps, Products & Integrations",26595,4.93,5
Fund09,Decentralized Escrow for Remote Job,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBzzg,4.93,682,182768099,0,32340389,150427710,YES,54400,FUNDED,521720,,USD,https://cardano.ideascale.com/a/dtd/416112-48088,416112,F9: Developer Ecosystem,26597,4.93,5
Fund09,LearnerShape SkillsGraph v2,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBz7r,4.93,447,79872727,0,103550608,-23677881,NO,49460,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/416611-48088,416611,"F9: Dapps, Products & Integrations",26595,4.93,5
Fund09,SwarmLabs - Treasury Systems,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1Ut,4.93,608,109005221,0,104690227,4314994,NO,66100,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/421737-48088,421737,"F9: Dapps, Products & Integrations",26595,4.93,5
Fund09,Tribal DIDs=Indigenous Sovereignty,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1oB,4.93,541,129968107,0,109138003,20830104,YES,352800,FUNDED,562623,,USD,https://cardano.ideascale.com/a/dtd/422853-48088,422853,"F9: Dapps, Products & Integrations",26595,4.93,5
Fund09,KERI bridge for Cardano,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZB0sW,4.92,536,94321008,0,18719608,75601400,YES,16000,FUNDED,645000,,USD,https://cardano.ideascale.com/a/dtd/419397-48088,419397,F9: Cross-Chain Collaboration,26598,4.92,8
Fund09,littlefish - Ikigai in Community,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZBzg9,4.92,957,185240443,0,28355753,156884690,YES,50000,FUNDED,807250,,USD,https://cardano.ideascale.com/a/dtd/414982-48088,414982,F9: DAOs <3 Cardano,26594,4.92,4
Fund09,Login with Cardano Wallet - cAuth,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1aw,4.92,739,138328674,0,39556848,98771826,YES,35500,FUNDED,4719015,,USD,https://cardano.ideascale.com/a/dtd/422045-48088,422045,"F9: Dapps, Products & Integrations",26595,4.92,4
Fund09,CEVI - INFO HUB FOR VN (EN),"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB1E6,4.9,409,84127591,0,34436431,49691160,YES,10240,FUNDED,29321,,USD,https://cardano.ideascale.com/a/dtd/420774-48088,420774,"F9: Grow East Asia, Grow Cardano",26602,4.9,10
Fund09,Cardano SSI Contributors - Season 2,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZB0sn,4.9,435,84696213,0,18803714,65892499,YES,9100,FUNDED,626100,,USD,https://cardano.ideascale.com/a/dtd/419413-48088,419413,F9: Cross-Chain Collaboration,26598,4.9,7
Fund09,Vcoincheck-Share(Knowledge) to earn,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0KC,4.9,462,112372663,0,115250962,-2878299,NO,52400,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/417364-48088,417364,"F9: Dapps, Products & Integrations",26595,4.9,7
Fund09,DOON: Decentralized News Platform,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0rW,4.88,679,85863711,0,119076675,-33212964,NO,138600,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/419336-48088,419336,"F9: Dapps, Products & Integrations",26595,4.89,12
Fund09,RESTful wrapper for Plutus Offchain,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1Tt,4.88,655,104785558,0,27957030,76828528,YES,32400,FUNDED,79360,,USD,https://cardano.ideascale.com/a/dtd/421676-48088,421676,F9: Developer Ecosystem,26597,4.89,9
Fund09,Bring NFT To Life,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0du,4.88,388,39355228,0,116071559,-76716331,NO,38600,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/418505-48088,418505,"F9: Dapps, Products & Integrations",26595,4.89,6
Fund09,Help2HEALTH ramping Up to 2B People,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0Mo,4.88,431,66224281,0,114446896,-48222615,NO,93440,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/417523-48088,417523,"F9: Dapps, Products & Integrations",26595,4.89,6
Fund09,littlefish - Ocean Organizations,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZB0fI,4.88,401,61452517,0,100948933,-39496416,NO,66133,NOT FUNDED,575,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/418590-48088,418590,F9: Cross-Chain Collaboration,26598,4.89,6
Fund09,littlefish - Ocean Technologies,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZB0er,4.88,492,75146932,0,30026198,45120734,YES,40800,FUNDED,18764,,USD,https://cardano.ideascale.com/a/dtd/418563-48088,418563,F9: Cross-Chain Collaboration,26598,4.89,6
Fund09,Cardano Youth Ambassadors,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZB1n0,4.88,865,185534153,0,28178207,157355946,YES,50000,FUNDED,400000,,USD,https://cardano.ideascale.com/a/dtd/422842-48088,422842,"F9: Grow Africa, Grow Cardano",26600,4.88,11
Fund09,littlefish - Tools of DAO Work,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZB0el,4.88,991,172419850,0,28872851,143546999,YES,93600,FUNDED,713650,,USD,https://cardano.ideascale.com/a/dtd/418557-48088,418557,F9: DAOs <3 Cardano,26594,4.88,8
Fund09,RampUp Plutus Devs for Cardano,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1Vr,4.88,605,86856343,0,21566628,65289715,YES,55950,NOT FUNDED,49360,Over Budget,USD,https://cardano.ideascale.com/a/dtd/421796-48088,421796,F9: Developer Ecosystem,26597,4.88,8
Fund09,Haskell Book Vietnamese Translation,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBzfm,4.87,579,87810275,0,26099578,61710697,YES,8080,FUNDED,41280,,USD,https://cardano.ideascale.com/a/dtd/414898-48088,414898,F9: Developer Ecosystem,26597,4.87,15
Fund09,Buy food & make an impact,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1Lz,4.87,565,69580658,0,27665190,41915468,YES,31500,FUNDED,1733828,,USD,https://cardano.ideascale.com/a/dtd/421194-48088,421194,"F9: Dapps, Products & Integrations",26595,4.87,10
Fund09,Aedou - the Language Learning Game,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1W1,4.87,432,49038383,0,104216044,-55177661,NO,104000,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/421867-48088,421867,"F9: Dapps, Products & Integrations",26595,4.87,5
Fund09,Atala Integration with Milkomeda,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1Rf,4.87,769,257219429,0,94738495,162480934,YES,46100,FUNDED,5859700,,USD,https://cardano.ideascale.com/a/dtd/421540-48088,421540,"F9: Dapps, Products & Integrations",26595,4.87,5
Fund09,Blueprint for Investment Funds,Legal & Financial Implementatio,https://app.ideascale.com/t/UM5UZB0aJ,4.87,1011,148992250,0,48386475,100605775,YES,39857,FUNDED,335143,,USD,https://cardano.ideascale.com/a/dtd/418286-48088,418286,F9: Legal & Financial Implementations,26596,4.87,5
Fund09,DeFi Dashboard Trackr DEX Portfolio,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0bC,4.87,486,70629347,0,96323139,-25693792,NO,49500,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/418340-48088,418340,"F9: Dapps, Products & Integrations",26595,4.87,5
Fund09,Funding Categories Analysis,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZB0tw,4.87,766,150952690,0,13510486,137442204,YES,42150,FUNDED,552500,,USD,https://cardano.ideascale.com/a/dtd/419483-48088,419483,F9: DAOs <3 Cardano,26594,4.87,5
Fund09,Gov3 - DAO Delegation Dashboard,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZB1NO,4.87,961,172748637,0,33403659,139344978,YES,119000,FUNDED,594650,,USD,https://cardano.ideascale.com/a/dtd/421280-48088,421280,F9: DAOs <3 Cardano,26594,4.87,5
Fund09,littlefish - Redefining Earning,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZB1Vn,4.87,890,152038021,0,113900120,38137901,YES,260000,NOT FUNDED,590,Over Budget,USD,https://cardano.ideascale.com/a/dtd/421792-48088,421792,F9: DAOs <3 Cardano,26594,4.87,5
Fund09,Mentorship Digital Identity DAO,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZB1dO,4.87,699,124450890,0,15651969,108798921,YES,90000,FUNDED,339780,,USD,https://cardano.ideascale.com/a/dtd/422195-48088,422195,F9: DAOs <3 Cardano,26594,4.87,5
Fund09,Proposals Mentors Marketplace - 2,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1Q2,4.87,376,54394983,0,24446949,29948034,YES,37000,FUNDED,1315523,,USD,https://cardano.ideascale.com/a/dtd/421502-48088,421502,"F9: Dapps, Products & Integrations",26595,4.87,5
Fund09,RootsWallet - User Feedback Updates,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0sh,4.87,404,74971831,0,20860356,54111475,YES,7800,FUNDED,1969478,,USD,https://cardano.ideascale.com/a/dtd/419407-48088,419407,"F9: Dapps, Products & Integrations",26595,4.87,5
Fund09,Cardano Asia TikTok Channel,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB1sy,4.86,692,125468617,0,35209882,90258735,YES,16800,FUNDED,53088,,USD,https://cardano.ideascale.com/a/dtd/423145-48088,423145,"F9: Grow East Asia, Grow Cardano",26602,4.86,32
Fund09,Cardano Forest - blocktree.asia,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzXX,4.86,523,64207835,0,27727259,36480576,YES,37800,FUNDED,1537123,,USD,https://cardano.ideascale.com/a/dtd/414457-48088,414457,"F9: Dapps, Products & Integrations",26595,4.86,14
Fund09,Vietnamese Haskell Course,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBzfn,4.86,512,80411064,0,24935366,55475698,YES,11580,NOT FUNDED,780,Over Budget,USD,https://cardano.ideascale.com/a/dtd/414899-48088,414899,F9: Developer Ecosystem,26597,4.86,12
Fund09,Cannabis & Hemp Grading App,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB05r,4.86,509,50284866,0,102816565,-52531699,NO,110000,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/420210-48088,420210,"F9: Dapps, Products & Integrations",26595,4.86,7
Fund09,Empower thru Project Based Learning,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB0lJ,4.86,445,80933170,0,21718497,59214673,YES,36000,NOT FUNDED,780,Over Budget,USD,https://cardano.ideascale.com/a/dtd/418957-48088,418957,F9: Developer Ecosystem,26597,4.86,7
Fund09,NFT Swap Infrastructure Templates 2,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0Uc,4.86,366,42742673,0,98643751,-55901078,NO,49098,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/417999-48088,417999,"F9: Dapps, Products & Integrations",26595,4.86,7
Fund09,Haskell Course For Developers,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBzfk,4.84,831,135353299,0,21569324,113783975,YES,16080,FUNDED,239440,,USD,https://cardano.ideascale.com/a/dtd/414896-48088,414896,F9: Developer Ecosystem,26597,4.85,18
Fund09,ADA SOLAR PLATFORM,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0HV,4.84,731,77039652,0,100035466,-22995814,NO,78000,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/417200-48088,417200,"F9: Dapps, Products & Integrations",26595,4.85,11
Fund09,Catalyst Campus Train,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZB1WF,4.83,605,130456203,0,25333472,105122731,YES,19575,FUNDED,280425,,USD,https://cardano.ideascale.com/a/dtd/421820-48088,421820,"F9: Grow Africa, Grow Cardano",26600,4.83,18
Fund09,Discord Social Credential,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0sj,4.83,442,141268702,0,22441666,118827036,YES,8425,FUNDED,4965075,,USD,https://cardano.ideascale.com/a/dtd/419409-48088,419409,"F9: Dapps, Products & Integrations",26595,4.83,8
Fund09,Hotel booking on Cardano,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1Tn,4.83,678,94627968,0,106620855,-11992887,NO,39150,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/421670-48088,421670,"F9: Dapps, Products & Integrations",26595,4.83,8
Fund09,subHandles | ADA Handle,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBz8x,4.83,1106,171641184,0,100730521,70910663,YES,246400,FUNDED,3597828,,USD,https://cardano.ideascale.com/a/dtd/416678-48088,416678,"F9: Dapps, Products & Integrations",26595,4.83,8
Fund09,Token Gating on Cardano with CNFTs,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzY6,4.83,351,45649599,0,95107284,-49457685,NO,50150,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/414552-48088,414552,"F9: Dapps, Products & Integrations",26595,4.83,8
Fund09,BitFins Cross-Chain NFT Aquariums,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBz9t,4.83,347,59584088,0,24322382,35261706,YES,20000,NOT FUNDED,18764,Over Budget,USD,https://cardano.ideascale.com/a/dtd/416735-48088,416735,F9: Cross-Chain Collaboration,26598,4.83,6
Fund09,Cross-Chain Catalyst Women Activity,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZB0YE,4.83,438,56429565,0,32112527,24317038,YES,15000,NOT FUNDED,8435,Over Budget,USD,https://cardano.ideascale.com/a/dtd/418220-48088,418220,F9: Cross-Chain Collaboration,26598,4.83,6
Fund09,Optim Finance - Liquidity Bonds,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0yq,4.83,553,93043498,0,108272470,-15228972,NO,121000,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/419782-48088,419782,"F9: Dapps, Products & Integrations",26595,4.83,6
Fund09,Decentralizing Telco for Cardano,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1dB,4.83,383,45151892,0,105590464,-60438572,NO,35500,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/422182-48088,422182,"F9: Dapps, Products & Integrations",26595,4.83,4
Fund09,Homeless Hub Hackathon,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1Js,4.83,357,39708338,0,115425722,-75717384,NO,67170,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/421065-48088,421065,"F9: Dapps, Products & Integrations",26595,4.83,4
Fund09,Impact monetization 4 entrepreneurs,Catalyst Natives X Cardashift D,https://app.ideascale.com/t/UM5UZB1n1,4.83,518,103972002,0,18130982,85841020,YES,20000,FUNDED,121480,,USD,https://cardano.ideascale.com/a/dtd/422843-48088,422843,F9: Catalyst Natives X Cardashift: Demonstrating and monetizing impact,26605,4.83,4
Fund09,InnovatioFounder KYC & AML Process,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBz8L,4.83,424,55576726,0,96287799,-40711073,NO,60000,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/416641-48088,416641,"F9: Dapps, Products & Integrations",26595,4.83,4
Fund09,Launch Social Design Academy [SDA],"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0Us,4.83,318,36595326,0,97924570,-61329244,NO,48400,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/418015-48088,418015,"F9: Dapps, Products & Integrations",26595,4.83,4
Fund09,China Info Hub Continued,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBz77,4.82,495,104764978,0,30155243,74609735,YES,13527,FUNDED,39561,,USD,https://cardano.ideascale.com/a/dtd/416627-48088,416627,"F9: Grow East Asia, Grow Cardano",26602,4.82,13
Fund09,Game Play and Earn from EVM Network,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZB1Gx,4.82,2134,408554364,0,103832943,304721421,YES,80000,FUNDED,280800,,USD,https://cardano.ideascale.com/a/dtd/420887-48088,420887,F9: The Great Migration (from Ethereum),26593,4.82,11
Fund09,Add Senior Developers to Ecosystem,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1Xx,4.8,505,100538148,0,22940191,77597957,YES,31000,FUNDED,111760,,USD,https://cardano.ideascale.com/a/dtd/421924-48088,421924,F9: Developer Ecosystem,26597,4.81,12
Fund09,Secure off-chain community voting,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZB1mL,4.8,1185,224686203,0,13309156,211377047,YES,51750,FUNDED,857250,,USD,https://cardano.ideascale.com/a/dtd/422741-48088,422741,F9: DAOs <3 Cardano,26594,4.81,9
Fund09,DeFi and NFT dashboard for Cardano,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0em,4.8,441,66182402,0,109666573,-43484171,NO,88090,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/418558-48088,418558,"F9: Dapps, Products & Integrations",26595,4.81,7
Fund09,Eastern Hemisphere dRep TownHall,dRep improvement and onboarding,https://app.ideascale.com/t/UM5UZB06i,4.8,462,176268309,0,9376930,166891379,YES,23060,FUNDED,86940,,USD,https://cardano.ideascale.com/a/dtd/420262-48088,420262,F9: dRep improvement and onboarding,26601,4.81,7
Fund09,Funding real world Businesses,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1iD,4.8,378,42873942,0,41504156,1369786,NO,42810,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/422489-48088,422489,"F9: Dapps, Products & Integrations",26595,4.81,7
Fund09,HAZELnet.io Community Integration,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB08g,4.8,423,55246869,0,40606490,14640379,YES,67425,NOT FUNDED,7171,Over Budget,USD,https://cardano.ideascale.com/a/dtd/420382-48088,420382,"F9: Dapps, Products & Integrations",26595,4.81,7
Fund09,littlefish - Law and the New Order,Legal & Financial Implementatio,https://app.ideascale.com/t/UM5UZB1cP,4.8,716,109864378,0,38573674,71290704,YES,84800,FUNDED,70943,,USD,https://cardano.ideascale.com/a/dtd/422135-48088,422135,F9: Legal & Financial Implementations,26596,4.81,7
Fund09,Onboarding East Asia Today,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB0Im,4.8,460,137460184,0,32774326,104685858,YES,17000,FUNDED,162538,,USD,https://cardano.ideascale.com/a/dtd/417277-48088,417277,"F9: Grow East Asia, Grow Cardano",26602,4.8,10
