Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy,URL,proposal_id,Funding category,challenge_id,Rating,No. Assessments
Fund09,CNFT Alliance: Vietnamese Community,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBz9I,3.53,153,23491207,0,22153473,1337734,NO,7500,NOT FUNDED,1021,Approval Threshold,,https://cardano.ideascale.com/a/dtd/416699-48088,416699,"F9: Grow East Asia, Grow Cardano",26602,3.53,5
Fund09,Inukshuk HealthDigital Identity,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1EY,3.53,140,4735649,0,24076819,-19341170,NO,57000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/420741-48088,420741,"F9: Dapps, Products & Integrations",26595,3.53,5
Fund09,Lokole Digital Library Monetization,Catalyst Natives X Cardashift D,https://app.ideascale.com/t/UM5UZB0ox,3.53,167,4107060,0,25013901,-20906841,NO,31200,NOT FUNDED,6257,Approval Threshold,,https://cardano.ideascale.com/a/dtd/419179-48088,419179,F9: Catalyst Natives X Cardashift: Demonstrating and monetizing impact,26605,3.53,5
Fund09,Mehen: USDM State Regulatory Fees,Legal & Financial Implementatio,https://app.ideascale.com/t/UM5UZB0Ct,3.52,305,15301028,0,18720650,-3419622,NO,26578,NOT FUNDED,8659,Approval Threshold,,https://cardano.ideascale.com/a/dtd/416918-48088,416918,F9: Legal & Financial Implementations,26596,3.52,9
Fund09,NFT Data Public API,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0zl,3.52,139,1877701,0,21928876,-20051175,NO,50000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/419838-48088,419838,"F9: Dapps, Products & Integrations",26595,3.52,9
Fund09,Dyor Better With Dexplore Analytics,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1HJ,3.52,124,7788241,0,22422036,-14633795,NO,52000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/420909-48088,420909,"F9: Dapps, Products & Integrations",26595,3.52,7
Fund09,Fractionalized NFTs with Marlowe,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1SA,3.52,147,3209822,0,21752613,-18542791,NO,8000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/421571-48088,421571,"F9: Dapps, Products & Integrations",26595,3.52,7
Fund09,No Code Smart Contract Indexer,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBzPS,3.52,206,13670755,0,33139191,-19468436,NO,250000,NOT FUNDED,780,Approval Threshold,,https://cardano.ideascale.com/a/dtd/413964-48088,413964,F9: Developer Ecosystem,26597,3.52,7
Fund09,Olympics–Shots promotion platform,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzWB,3.52,122,1754693,0,20339727,-18585034,NO,15000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/414374-48088,414374,"F9: Dapps, Products & Integrations",26595,3.52,7
Fund09,GameFan-Gaming & Esports Fandom,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzPO,3.5,218,7418709,0,127530942,-120112233,NO,500000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/413960-48088,413960,"F9: Dapps, Products & Integrations",26595,3.5,8
Fund09,"anetaBTC, DAO Infrastructure",DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZB1U9,3.5,659,60407719,0,22367084,38040635,YES,65000,NOT FUNDED,590,Over Budget,,https://cardano.ideascale.com/a/dtd/421753-48088,421753,F9: DAOs <3 Cardano,26594,3.5,6
